client_no,attrition_flag,customer_age,gender,education_level,marital_status,income_category,card_category,months_on_book,months_inactive_12_mon,credit_limit,total_revolving_bal,total_trans_amt,avg_utilization_ratio
768805383,Existing Customer,45,M,High School,Married,$60K - $80K,Blue,39,1,12691,777,1144,0.061
818770008,Existing Customer,49,F,Graduate,Single,Less than $40K,Blue,44,1,8256,864,1291,0.105
713982108,Existing Customer,51,M,Graduate,Married,$80K - $120K,Blue,36,1,3418,0,1887,0
769911858,Existing Customer,40,F,High School,Unknown,Less than $40K,Blue,34,4,3313,2517,1171,0.76
709106358,Existing Customer,40,M,Uneducated,Married,$60K - $80K,Blue,21,1,4716,0,816,0
713061558,Existing Customer,44,M,Graduate,Married,$40K - $60K,Blue,36,1,4010,1247,1088,0.311
810347208,Existing Customer,51,M,Unknown,Married,$120K +,Gold,46,1,34516,2264,1330,0.066
818906208,Existing Customer,32,M,High School,Unknown,$60K - $80K,Silver,27,2,29081,1396,1538,0.048
710930508,Existing Customer,37,M,Uneducated,Single,$60K - $80K,Blue,36,2,22352,2517,1350,0.113
719661558,Existing Customer,48,M,Graduate,Single,$80K - $120K,Blue,36,3,11656,1677,1441,0.144
708790833,Existing Customer,42,M,Uneducated,Unknown,$120K +,Blue,31,3,6748,1467,1201,0.217
710821833,Existing Customer,65,M,Unknown,Married,$40K - $60K,Blue,54,2,9095,1587,1314,0.174
710599683,Existing Customer,56,M,College,Single,$80K - $120K,Blue,36,6,11751,0,1539,0
816082233,Existing Customer,35,M,Graduate,Unknown,$60K - $80K,Blue,30,1,8547,1666,1311,0.195
712396908,Existing Customer,57,F,Graduate,Married,Less than $40K,Blue,48,2,2436,680,1570,0.279
714885258,Existing Customer,44,M,Unknown,Unknown,$80K - $120K,Blue,37,1,4234,972,1348,0.23
709967358,Existing Customer,48,M,Post-Graduate,Single,$80K - $120K,Blue,36,2,30367,2362,1671,0.078
753327333,Existing Customer,41,M,Unknown,Married,$80K - $120K,Blue,34,4,13535,1291,1028,0.095
806160108,Existing Customer,61,M,High School,Married,$40K - $60K,Blue,56,2,3193,2517,1336,0.788
709327383,Existing Customer,45,F,Graduate,Married,Unknown,Blue,37,1,14470,1157,1207,0.08
806165208,Existing Customer,47,M,Doctorate,Divorced,$60K - $80K,Blue,42,2,20979,1800,1178,0.086
708508758,Attrited Customer,62,F,Graduate,Married,Less than $40K,Blue,49,3,1438.3,0,692,0
784725333,Existing Customer,41,M,High School,Married,$40K - $60K,Blue,33,2,4470,680,931,0.152
811604133,Existing Customer,47,F,Unknown,Single,Less than $40K,Blue,36,3,2492,1560,1126,0.626
789124683,Existing Customer,54,M,Unknown,Married,$80K - $120K,Blue,42,2,12217,0,1110,0
771071958,Existing Customer,41,F,Graduate,Single,Less than $40K,Blue,28,1,7768,1669,1051,0.215
720466383,Existing Customer,59,M,High School,Unknown,$40K - $60K,Blue,46,1,14784,1374,1197,0.093
804424383,Existing Customer,63,M,Unknown,Married,$60K - $80K,Blue,56,3,10215,1010,1904,0.099
718813833,Existing Customer,44,F,Uneducated,Single,Unknown,Blue,34,2,10100,0,1052,0
806624208,Existing Customer,47,M,High School,Married,$40K - $60K,Blue,42,0,4785,1362,1045,0.285
778348233,Existing Customer,53,M,Unknown,Married,$80K - $120K,Blue,33,2,2753,1811,1038,0.658
712991808,Existing Customer,53,M,Uneducated,Married,$60K - $80K,Blue,48,5,2451,1690,1596,0.69
709029408,Existing Customer,41,M,Graduate,Married,$60K - $80K,Blue,36,1,8923,2517,1589,0.282
788658483,Existing Customer,53,F,College,Married,Less than $40K,Blue,38,2,2650,1490,1411,0.562
787937058,Existing Customer,58,M,Graduate,Married,$80K - $120K,Blue,49,2,12555,1696,1291,0.135
715318008,Existing Customer,55,F,College,Single,Less than $40K,Blue,36,2,3520,1914,1407,0.544
713962233,Existing Customer,55,F,Graduate,Married,Less than $40K,Blue,36,2,3035,2298,1877,0.757
785432733,Existing Customer,42,F,High School,Married,Less than $40K,Gold,36,3,15433,0,966,0
715190283,Existing Customer,57,F,Graduate,Unknown,$40K - $60K,Blue,49,3,3672,886,1464,0.241
708300483,Attrited Customer,66,F,Doctorate,Married,Unknown,Blue,56,4,7882,605,704,0.077
827111283,Existing Customer,45,M,Graduate,Single,$80K - $120K,Blue,41,2,32426,578,1109,0.018
758551608,Existing Customer,51,M,Unknown,Married,$40K - $60K,Blue,44,1,6205,2204,1347,0.355
773146383,Existing Customer,50,F,College,Single,$40K - $60K,Silver,43,2,17304,2517,1756,0.145
778493808,Existing Customer,49,M,High School,Married,$60K - $80K,Blue,37,2,3906,0,1756,0
720572508,Existing Customer,38,F,Graduate,Single,Unknown,Blue,28,3,9830,2055,1042,0.209
712661433,Existing Customer,49,M,Uneducated,Single,$80K - $120K,Blue,30,2,34516,0,1444,0
789172683,Existing Customer,56,M,Doctorate,Married,$60K - $80K,Blue,45,2,2283,1430,1741,0.626
738406533,Existing Customer,59,M,Doctorate,Married,$40K - $60K,Blue,52,2,2548,2020,1719,0.793
799723908,Existing Customer,46,M,High School,Married,$80K - $120K,Blue,40,3,19458,1435,1217,0.074
771490833,Existing Customer,52,M,College,Single,$80K - $120K,Blue,40,1,4745,1227,1140,0.259
720756708,Existing Customer,52,F,Unknown,Married,Less than $40K,Blue,41,3,2622,1549,1878,0.591
779471883,Attrited Customer,54,F,Graduate,Married,Less than $40K,Blue,40,3,1438.3,808,705,0.562
711525033,Existing Customer,66,F,High School,Married,Less than $40K,Blue,54,4,3171,2179,1946,0.687
712813458,Existing Customer,49,M,Unknown,Married,$120K +,Blue,36,2,19763,2517,1414,0.127
714374133,Attrited Customer,56,M,Graduate,Married,$120K +,Blue,36,3,15769,0,602,0
717891558,Existing Customer,49,F,Graduate,Unknown,Less than $40K,Blue,36,4,3298,2200,1052,0.667
716632758,Existing Customer,49,F,Graduate,Single,Less than $40K,Blue,36,2,2802,2363,1295,0.843
768563658,Existing Customer,56,M,Uneducated,Married,$40K - $60K,Blue,50,2,4458,1880,1424,0.422
711427458,Existing Customer,44,F,Graduate,Married,Unknown,Blue,35,1,6273,978,1359,0.156
714091983,Existing Customer,42,M,High School,Single,$60K - $80K,Blue,34,4,3336,1753,1168,0.525
787584108,Existing Customer,55,M,Unknown,Married,$80K - $120K,Blue,47,2,3436,2016,1097,0.587
712030833,Attrited Customer,48,M,Graduate,Married,$60K - $80K,Silver,35,4,34516,0,691,0
711481533,Existing Customer,39,M,High School,Divorced,$60K - $80K,Blue,33,3,5926,1251,1316,0.211
710082708,Existing Customer,44,M,Post-Graduate,Single,$120K +,Blue,32,4,23957,2102,1276,0.088
708155733,Existing Customer,53,M,High School,Single,$120K +,Blue,44,2,14734,1634,1289,0.111
788979258,Existing Customer,51,M,Uneducated,Single,$80K - $120K,Silver,38,1,34516,1515,1293,0.044
807986133,Existing Customer,57,M,College,Married,$60K - $80K,Blue,52,3,6584,1817,1353,0.276
788730933,Existing Customer,44,F,Uneducated,Single,Less than $40K,Blue,20,3,2084,1468,1132,0.704
711314058,Existing Customer,49,M,Graduate,Married,$60K - $80K,Blue,32,2,1687,1107,1670,0.656
717975333,Existing Customer,50,M,Doctorate,Married,$80K - $120K,Blue,38,2,25300,1330,837,0.053
715971108,Existing Customer,51,M,Graduate,Single,$120K +,Blue,42,2,34516,1763,1550,0.051
720096558,Existing Customer,55,F,Graduate,Married,Less than $40K,Blue,42,3,2216,1034,1540,0.467
